feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,auc.ct,auc.ct.af
KCNJ2,AF,0.0921218550117831,-0.249067903954228,323830.5,0.0932840915768769,2.16941271848604e-48,1.97655427735709e-47,86.1111111111111,95.7191301371994,0.537439915493143,0.0501345942939313
SNAI3,AF,0.031798938724396,-0.0613742982589505,964572.5,0.27785915601692,9.06456834592506e-16,3.39952883633746e-15,70.3703703703704,76.0756618859472,0.515803034051303,0.143320595712462
MASP1,AF,0.248911852731436,-0.132539823012417,1055266.5,0.303984883523974,1.85647870129553e-12,6.09369289207556e-12,100,95.8155741530038,0.535792069944221,0.162872689975063
CDS1,AF,0.0474071212020231,-0.0555323493603806,1198059,0.345118342683909,2.03193480273245e-08,5.46851021956387e-08,80.5555555555556,75.1796658681517,0.519908041836384,0.179429801746609
CLNK,AF,0.0263630665502973,-0.0412717404073201,1404211.5,0.404503572576714,0.000349990348247556,0.000715357879238526,62.962962962963,57.1695236910058,0.50815155452256,0.205549119214787
GPR18,AF,0.0352994078221107,-0.0268010575705936,1413625.5,0.407215412375945,0.000666942042207765,0.00133216856273989,73.1481481481482,65.8619295025356,0.519222454855355,0.211435386068774
TRDN-AS1,AF,2.15852042354815,-0.325312875338957,825183,0.237705980566012,4.2355786836438e-21,1.91740658347014e-20,100,99.990666708148,0.919440401163892,0.218556482130671
TIGIT,AF,0.00606372264426212,-0.01726891710956,1510405,0.435094156783171,0.00492342294907403,0.00911627928666588,26.8518518518519,32.202967986809,0.503651760347284,0.219135937980662
TCP11L2,AF,0.518851534791968,-0.0740099309806368,1294159,0.37280134722035,4.84471199657434e-06,1.13126392425647e-05,100,99.4213359051738,0.63394462744257,0.236335411173693
YWHAQ,AF,0.549615854517875,-0.0264461093207933,1572656,0.453026463915304,0.0913762691545969,0.144538301020943,100,99.8226674548113,0.544355824395637,0.246607594237656
C22orf15,AF,0.00296177208354916,-0.00128321087843984,1812373,0.522080436844149,0.116662355532451,0.181332072689495,14.8148148148148,9.36129172759232,0.502049824886593,0.262110391894321
CRIP3,AF,0.0515802958427901,-0.033691763695697,1757688.5,0.506327770230486,0.815208898557805,0.985101009210084,92.5925925925926,62.2872787232057,0.521957664880063,0.264281660613434
EGFL6,AF,0.00325539381249284,-0.00140121058275998,1842196,0.530671386316472,0.0221417896779094,0.0381761514600334,15.7407407407407,8.4030737641166,0.501446718259917,0.266103425142836
PPP1R12C,AF,0.350524463834235,-0.0295909282098513,1647935,0.474711676178559,0.363437043676665,0.509056430110781,99.0740740740741,98.9360047288679,0.574510348357749,0.272726770450835
FETUB,AF,0.00310777920625996,0.00269923117919555,1911720,0.550698787017737,2.88359797716784e-27,1.57862915290181e-26,11.1111111111111,0.920884796067573,0.500923945112967,0.27585820896185
IGLC2,AF,0.00693899741537272,0.00247725174234002,1945604,0.560459566681761,1.06441836053039e-07,2.74903827299119e-07,18.5185185185185,5.87064057493078,0.502025658784995,0.281365083185764
CEMIP,AF,0.182885061188396,-0.00734662048904922,1803824,0.519617772892203,0.480561811057668,0.649021235844298,98.1481481481482,89.9138226052329,0.551326781365554,0.286479194268996
CXCR6,AF,0.00955503421357345,0.00271745491615235,2009890,0.57897808520028,3.62055215872724e-06,8.51969091896306e-06,32.4074074074074,14.4634912733721,0.50557425905393,0.292716416433595
RCAN1,AF,0.385772329526832,-0.0712484680863063,1612567,0.464523408702546,0.202311786886139,0.301029919465778,100,98.970226798992,0.635776388584748,0.295333015197981
DIAPH3,AF,0.143923917189096,0.0274142644579526,1990445,0.573376669766241,0.00722203279801865,0.0131623796887522,89.8148148148148,66.7828142986031,0.52037661098628,0.298371808231556
KLRB1,AF,0.00783486075000829,0.00397225468655862,2099056,0.60466365005456,1.25711067214069e-15,4.68631175600452e-15,30.5555555555556,7.91774258781072,0.503264332048768,0.304305647958878
