TF,R.acc,P.acc,FDR.acc,motif,TF.var,R.exp,P.exp,FDR.exp,pass,R.product,label,AF_signature
NFIC,-0.601549812520358,1.58377394427547e-16,1.9691589373825e-14,MA0161.2,NFIC,-0.557921103881413,5.61224732797798e-14,5.35034245267234e-12,TRUE,0.335617335441015,NFIC,UP
AR,0.730751878371379,5.51513304001152e-27,4.11428924784859e-24,MA0007.3,AR,-0.320662606148957,5.02433950594347e-05,0.000538737318371881,TRUE,0.234324801766812,AR,UP
RORB,-0.440025278168797,1.12903190492327e-08,2.05428731968965e-07,MA1150.1,RORB,-0.496134959464722,6.0271838668007e-11,2.15471823238125e-09,TRUE,0.218311923547729,RORB,UP
MXI1,-0.392508192580981,4.78457111038558e-07,6.26191236552218e-06,MA1108.2,MXI1,-0.487265896077016,1.46976254460402e-10,4.67057875285279e-09,TRUE,0.191255856175542,MXI1,UP
NRF1,0.491901391033995,9.25322266795226e-11,3.45145205514619e-09,MA0506.1,NRF1,-0.380027676048196,1.16653564220386e-06,1.90645253525888e-05,TRUE,0.186936142479524,NRF1,UP
HAND2,-0.477407737161286,3.84366195657203e-10,1.10283531523182e-08,MA1638.1,HAND2,-0.388661821149073,6.32171251004018e-07,1.13000611116968e-05,TRUE,0.185550160555763,"",UP
CEBPD,-0.326366122111497,3.61524882737027e-05,0.00029478041630172,MA0836.2,CEBPD,0.544788880173387,2.79165597568286e-13,1.99603402261324e-11,TRUE,0.177800634191653,"",UP
TEF,-0.277543337218951,0.000492353808472375,0.00243242345112842,MA0843.1,TEF,-0.594103681504305,4.59433749670705e-16,5.25592209623286e-14,TRUE,0.16488951841877,"",UP
KLF9,-0.350592548228201,8.28787840976633e-06,8.24367639158091e-05,MA1107.2,KLF9,0.408641905851038,1.43007399710101e-07,2.92143687979207e-06,TRUE,0.143266807085144,"",UP
NFIC,-0.250631182060239,0.00171792239172812,0.00704159397928118,MA0119.1,NFIC::TLX1,-0.557921103881413,5.61224732797798e-14,5.35034245267234e-12,TRUE,0.139832425762152,"",UP
TFAP4,-0.499351701297119,4.33449331680173e-11,1.90207765549064e-09,MA0691.1,TFAP4,-0.270042839544807,0.000706640344000668,0.00511643388314407,TRUE,0.134846351349804,"",UP
ZNF449,-0.449563637248209,4.95202373240444e-09,9.98435055236138e-08,MA1656.1,ZNF449,0.2992541507329,0.000163141747731666,0.00143564738003866,TRUE,0.134533784465106,"",UP
TCF12,-0.469731622206676,7.95734683383475e-10,2.04695887518646e-08,MA0521.1,TCF12,0.267630854133327,0.000791991100394602,0.0056627363678214,TRUE,0.125714675264606,"",UP
TEAD3,-0.494748772089855,6.93993283290568e-11,2.72483678597244e-09,MA0808.1,TEAD3,0.253626860515762,0.00150434257587879,0.00989062015405368,TRUE,0.125481577809178,"",UP
NR2F1,-0.246581956422418,0.00205051313543434,0.00826855567045415,MA0017.2,NR2F1,-0.508520613615163,1.66168759984069e-11,6.78918076506338e-10,TRUE,0.125392007786355,"",UP
NKX2-5,-0.239765568640929,0.00274460148691108,0.010446289332835,MA0503.1,NKX2-5(VAR.2),-0.5055495230339,2.27422886678186e-11,8.67239274532816e-10,FALSE,0.121213368866373,"",UP
ZNF423,-0.449089205641706,5.16234478221677e-09,1.01344979145624e-07,MA0116.1,ZNF423,-0.26512993466359,0.000890407753411433,0.00626306393703388,TRUE,0.119066991749909,"",UP
RXRA,-0.46290180706778,1.49780238088526e-09,3.60438895529162e-08,MA0065.2,PPARG::RXRA,-0.237389281127251,0.00303256908273246,0.0180690574512809,FALSE,0.109887927212326,"",UP
RARA,-0.382164044710869,1.00408759917138e-06,1.18896722060611e-05,MA1149.1,RARA::RXRG,-0.276657116959257,0.000514103125886241,0.00397387821630986,TRUE,0.105728402815198,"",UP
PRRX1,-0.252249349490629,0.00159935009886766,0.00662841763197374,MA0716.1,PRRX1,0.396880733196975,3.47077957918554e-07,6.40414812675526e-06,TRUE,0.100112906774301,"",UP
DBP,-0.319788163021737,5.28131549924843e-05,0.000397965794185791,MA0639.1,DBP,-0.303858237866838,0.000127599587432158,0.00118667405187685,TRUE,0.097170267706458,"",UP
ZNF75D,-0.263507766210347,0.000960116824185982,0.00446098758471676,MA1601.1,ZNF75D,-0.36812647180504,2.63846395500094e-06,3.97158258489614e-05,TRUE,0.0970041842682424,"",UP
SOX9,0.225864623542487,0.00485408091731673,0.0155413921215377,MA0077.1,SOX9,0.421861784905235,5.06433471139525e-08,1.20699977288253e-06,FALSE,0.0952836532345825,"",UP
