feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,TF.name,auc_TF_expr,combined_auc
MA0643.1,CM,2.73432054306145,4.0374820917872,26624915.5,0.97710009569923,0,0,100,100,Esrrg,0.957847401105505,0.935912787285448
MA0807.1,CM,2.60777208152361,3.84221473321452,26360882,0.967410406426121,0,0,100,100,TBX5,0.957772719227369,0.9265592955716
MA0476.1,Mesothelial,6.82707509216812,7.49915877949554,11909039.5,0.951240746420778,0,0,100,100,FOS,0.900514318486071,0.856605912479289
MA1627.1,Mesothelial,2.41903392198513,2.58641117696838,11888306,0.94958464728567,0,0,100,100,Wt1,0.894257748724388,0.849173428904925
MA0478.1,Mesothelial,6.27869708660869,6.87974041247293,11805360,0.942959292238975,0,0,100,100,FOSL2,0.886820698623266,0.836235818316668
MA1604.1,PC,3.07947369967737,3.12782349991901,7322569,0.928127780158545,0,0,100,100,Ebf2,0.870807288012733,0.80822043516914
MA1517.1,Mesothelial,1.49709745502891,1.53720876803046,10841372,0.865960247550218,0,0,100,100,KLF6,0.905027724793682,0.783718032602147
MA0162.4,Mesothelial,1.59421628726525,1.69476190205507,11274077,0.900522785291402,0,0,100,100,EGR1,0.844399927153524,0.760401374300148
MA0490.2,Mesothelial,7.02202480618321,7.71295172786009,11932865,0.953143820669868,0,0,100,100,JUNB,0.773120728656462,0.736895245150692
MA0154.4,PC,2.77216764167376,2.8050840747358,7172081,0.909053587292558,2.33384119007026e-289,5.80348509264137e-287,100,100,EBF1,0.808928714247454,0.735359549550605
MA0002.2,Myeloid,2.0061399314898,2.08482743114937,12052565,0.858911879786479,0,0,100,100,RUNX1,0.854535782100879,0.733970934949075
MA0592.3,CM,2.85986717265702,4.22750639427985,26732266.5,0.981039739089776,0,0,100,100,ESRRA,0.720609497340316,0.706946553256358
MA0032.2,Endocardial,1.50359805168254,1.56157008927712,8145454,0.809781938723652,3.72256517292003e-212,8.16774593823042e-211,100,100,FOXC1,0.868053263482888,0.702933854618566
MA0141.3,CM,2.49698325790205,3.68500593533449,26426179,0.969806722198423,0,0,100,100,ESRRB,0.72324209776735,0.701405048191665
MA0098.3,Lymphoid,3.19293662820443,2.95598999757541,2128905,0.894359611623077,1.38900157376056e-82,1.03619517402538e-80,100,100,ETS1,0.781150015459795,0.698629024445982
MA0154.4,Adipo,1.41083449742533,1.29321912217288,1061059,0.739071440760902,1.26498476121112e-19,2.55048278882025e-18,100,100,EBF1,0.944938756604082,0.698377248274194
MA0645.1,Myeloid,5.820923831231,6.05683508370899,13644494,0.97235882903559,0,0,100,100,ETV6,0.716858277275427,0.697043475076005
MA0491.2,Mesothelial,7.01631225456913,7.71046178521972,11932503.5,0.95311494566867,0,0,100,100,JUND,0.713678763015716,0.680217895436608
MA0466.2,Mesothelial,3.11077963521045,3.28740224493612,10986338,0.877539482470518,0,0,100,100,CEBPB,0.76784371235866,0.67381317396146
MA0080.5,Myeloid,8.21487552497758,8.54125441252647,13830107,0.985586321336425,0,0,100,100,SPI1,0.683233866849957,0.67338595344111
MA0620.3,CM,0.774127873961263,1.06227556043098,19859260,0.728809255620582,0,0,100,100,MITF,0.909958298153031,0.663186029922682
MA0154.4,FB,1.46954523308161,1.74432084371277,21103848,0.823365585692437,0,0,100,100,EBF1,0.797601594931178,0.656717704359731
MA0052.4,CM,4.18516758305663,6.0782582741508,26831177,0.984669627004938,0,0,100,100,MEF2A,0.661170062086513,0.651034078421559
MA0498.2,CM,1.29310636406984,1.96659289076445,24286425,0.891280507226105,0,0,100,100,MEIS1,0.727028762578529,0.647986564278959
MA0475.2,Myeloid,2.40894822111286,2.39130312342179,12127448,0.86424832877423,0,0,100,100,FLI1,0.749119446365598,0.647425229573745
MA1520.1,Myeloid,1.26438859558402,1.37886362055477,11183321,0.796966227717138,2.20870543890932e-271,2.94231117397562e-270,100,100,MAF,0.809666688402133,0.645277006364076
MA1604.1,FB,1.40051374858935,1.64997063802661,20887127,0.814910226598833,0,0,100,100,Ebf2,0.79116484987047,0.644728327084976
MA0600.2,Mesothelial,2.05384038836825,2.08107069875585,10526838,0.840836680117705,0,0,100,100,RFX2,0.76665716147955,0.644633462446928
MA1114.1,CM,1.80001866625492,2.66059584217582,25861356,0.949078445808095,0,0,100,100,PBX3,0.674828478479123,0.640465163542008
MA0474.2,Endocardial,1.6346802107664,1.43342385421857,7417759,0.737437994739743,1.7775740520491e-125,1.72216914653069e-124,100,100,ERG,0.867052748909813,0.639397640489634
MA1508.1,Myeloid,6.62578881493184,6.72923991879418,13315688,0.948926855879248,0,0,100,100,IKZF1,0.667246504776636,0.633168127874111
MA0695.1,Mesothelial,0.669326560298285,0.747646917769728,8856516,0.70741883848211,2.80904732444103e-119,7.59256994214857e-119,100,100,ZBTB7C,0.893897270493663,0.632359768814955
MA0482.2,Endocardial,2.05514246737598,2.41629845174271,8568105,0.851799872430415,5.38938380110938e-273,2.0102401578138e-271,100,100,GATA4,0.740621766520619,0.630861526241452
MA0515.1,Neuron,1.81275904013512,1.63596448572997,1235444,0.783687896024546,1.85019881558053e-29,1.53360924047009e-27,100,100,Sox6,0.799132100055251,0.626270154137977
MA0029.1,Endocardial,0.968096507954958,1.12054847516314,7627232,0.758262794935074,4.37823276510143e-148,5.44360273794278e-147,100,100,Mecom,0.822662470284797,0.623794344006342
