Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,database,module,overlap.n
regulation of cellular amine metabolic process (GO:0033238),14/51,6.14713645698082e-09,1.69169195296112e-05,0,0,9.41185543520174,177.952581141655,PSMD14;OAZ2;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,14
regulation of cellular amino acid metabolic process (GO:0006521),14/54,1.38329868540793e-08,1.90341899112132e-05,0,0,8.70460440985733,157.520347151378,PSMD14;OAZ2;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,14
regulation of primary metabolic process (GO:0080090),21/130,3.50301032141345e-08,2.71332004102681e-05,0,0,4.81802680244008,82.7113458198038,FDPS;SMARCD3;PSMD14;OAZ2;TM7SF2;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;CARM1;PMVK;PSMC2;DHCR7;FDFT1,GO_BP,turquoise,21
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),17/87,3.94377912939944e-08,2.71332004102681e-05,0,0,6.05403645833333,103.212490654889,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;DDIT3;PSME3;PSMC2;ANKRD2;ATF4;HSPA1A,GO_BP,turquoise,17
regulation of mRNA catabolic process (GO:0061013),20/122,5.74102756163606e-08,2.77657479340206e-05,0,0,4.89888504421376,81.6793187012414,SET;PSMD14;HSPB1;EXOSC7;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;FXR2;PSMB5;PSMA1;PSMB2;CSDC2;PSMC4;PSMD2;PSME3;APEX1;PSMC2;HSPA1A,GO_BP,turquoise,20
regulation of mRNA stability (GO:0043488),22/146,6.05357876468472e-08,2.77657479340206e-05,0,0,4.43920432926056,73.7797140801174,SET;PSMD14;HSPB1;TENT5B;EXOSC7;PSMA6;PSMD6;PSMA3;RIDA;PSMC5;PSMD7;FXR2;PSMB5;PSMA1;PSMB2;CSDC2;PSMC4;PSMD2;PSME3;APEX1;PSMC2;HSPA1A,GO_BP,turquoise,22
regulation of cellular ketone metabolic process (GO:0010565),14/64,1.41689166707882e-07,5.57040838257275e-05,0,0,6.96005188067445,109.757443951595,PSMD14;OAZ2;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,14
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972),14/66,2.13108523783239e-07,7.19260964222429e-05,0,0,6.69165918387708,102.793683658613,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2;NABP2,GO_BP,turquoise,14
negative regulation of cell cycle G2/M phase transition (GO:1902750),13/57,2.35223425799486e-07,7.19260964222429e-05,0,0,7.33699364107395,111.982553149081,PSMD14;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,13
anaphase-promoting complex-dependent catabolic process (GO:0031145),15/84,8.39262035543046e-07,0.000230964912181446,0,0,5.40542066629023,75.6258505941281,PSMD14;ANAPC10;FBXO31;PSMA6;PSMD6;PSMA3;PSMC5;PSMD7;PSMB5;PSMA1;PSMB2;PSMC4;PSMD2;PSME3;PSMC2,GO_BP,turquoise,15
