gene_id,colors,L2FC,padj,cell_type.marker
TNMD,grey,0.562097690734308,0.00547138439141795,
DPM1,turquoise,-0.0746871771533301,0.0615224536409371,CM
CFH,pink,0.319747384285985,0.00685133304964804,
GCLC,brown,-0.0552139538306951,0.140806353910824,
LAS1L,red,0.0638697292153592,0.0340451032881682,
ENPP4,brown,-0.0836565842142635,0.110213690598988,
CYP51A1,brown,-0.113908863024162,0.113355629197891,
WNT16,blue,0.548424125290756,0.00319186289122402,
TMEM176A,grey,-0.396987320279649,6.47715749925455e-06,
CYP26B1,blue,1.00703427901655,7.42703448193282e-15,
DBNDD1,turquoise,-0.143677772861016,0.0879803742817284,
ALS2,brown,0.114413120696872,0.043976379975268,CM
CASP10,blue,0.105342650750775,0.0522046383708689,Endocardial
CFLAR,brown,-0.0713177448041242,0.150101750116461,CM
CD38,magenta,-0.552364719239852,2.67146692584232e-06,PC
FKBP4,turquoise,-0.0858750117451393,0.0443145261764078,
RBM6,red,0.0703798121371364,0.0721753747206581,Adipo
RECQL,black,0.110187343945926,0.0530852565167238,
HSPB6,turquoise,-0.47139410476893,4.23829498388837e-06,
ARHGAP33,red,0.122174519003937,0.0076106166066607,
ZMYND10,tan,0.174506707629726,0.0618737708436697,
ARX,grey,0.528223386479107,0.0247084131309352,
ST7,turquoise,-0.13502932441873,3.24204883263503e-06,CM
SKAP2,grey,-0.224428913922885,0.00104486984179627,
COPZ2,turquoise,0.151756746043835,0.00538006871734009,
PRKAR2B,cyan,-0.187456787426292,0.0141026247764072,
MSL3,blue,0.0603432596636339,0.121056303632234,
WDR54,blue,0.099830889197829,0.146659589866481,
CROT,grey,0.0607821155885429,0.0596144196208374,
ABCB4,grey,0.247414263730303,3.23883047517175e-05,CM
IBTK,brown,-0.156533751511325,0.000153365560594187,CM
ITGAL,blue,0.736265299235687,1.10088437495447e-07,Lymphoid
ITGA3,green,0.147861321051602,0.00296913529213667,
LAMP2,brown,-0.0544716758568928,0.129392668446574,
ITGA2B,turquoise,-0.374795690387443,1.59923127826189e-05,
ASB4,purple,0.116275549228842,0.162112930684762,
GDE1,yellow,-0.0809373110804268,0.0233055365972794,
OSBPL7,red,0.169470114494007,7.84245924940598e-06,
YBX2,turquoise,-0.124132492060086,0.0721753747206581,
MAP3K14,grey,-0.0744686259976992,0.110630871368649,Mesothelial
TAC1,magenta,-0.12024417501132,0.095760817060597,
CACNA1G,turquoise,-0.925747460632503,7.63339957911443e-14,
TNFRSF12A,yellow,-0.400437666957275,0.00320186858710822,
DLX6,grey,0.314513414029784,0.00518186481524918,
BAIAP2L1,grey,0.080259797524188,0.144495639763046,Mesothelial
AGK,grey,0.172442693898633,3.24149042371982e-09,CM
ALDH3B1,green,0.233410576305816,0.0165619186526196,Mesothelial
TTC22,green,0.336111972443981,0.0043322745690436,
USH1C,grey,-0.809341344275366,1.51315965482973e-06,
IFRD1,grey,-0.207018198150107,0.000922768818395984,
COX10,yellow,-0.109119803003282,0.0169989739763443,CM
GTF2IRD1,turquoise,-0.0672581013589264,0.169733032400056,CM
