gene_name,GENEID,CTSN.Stranded_L2FC,CTSN.Stranded_padj,J.Hsu_L2FC,J.Hsu_padj,signature,CM_AUC,CM_FDR,CM_L2FC
IFNG-AS1,ENSG00000255733,2.562376195188,1.6644940029188e-52,1.54186158809054,1.1425472187639e-12,UP,0.823328860861349,5.28445823662005e-05,2.90109792802797
LINC01479,ENSG00000255772,1.97640008383297,3.94795811410155e-29,1.31993658299852,1.87641626382414e-33,UP,0.787817444314201,2.76293610452485e-11,2.24344006244131
RCAN1,ENSG00000159200,0.915728116186586,3.9645531012007e-17,0.449208419854877,2.71514083589835e-06,UP,0.635776388584748,0.999825403673469,-0.0051261366039745
RNF216,ENSG00000011275,0.460220192110015,1.24270923072327e-11,0.517614835049403,8.52720597813844e-19,UP,0.625645067016068,0.031880925732075,0.801807649625431
CEMIP,ENSG00000103888,1.21208287578302,2.8853848165637e-09,2.10098818669127,1.06521351043538e-08,UP,0.551326781365554,0.999825403673469,-0.00177053320335806
COLQ,ENSG00000206561,1.04172558565467,3.53300966351037e-08,1.09571311712343,9.50412631246881e-25,UP,0.816137638224321,0.251813119314395,0.276454713341269
ANGPTL2,ENSG00000136859,0.703244182803173,7.76040860304301e-08,0.790076844505712,2.34114015268991e-25,UP,0.51529816987562,0.824234001257272,0.0195589018508697
ETV4,ENSG00000175832,1.22114266687803,1.7505363568918e-07,1.24329216402066,4.09849623433033e-13,UP,0.529383795970137,0.999825403673469,0.0117840354587649
TRIQK,ENSG00000205133,0.428521643503025,3.64982169901754e-07,0.619729737600245,1.06334612024163e-16,UP,0.694159543171502,0.0970359439563608,0.756009012996461
F5,ENSG00000198734,1.61615148330187,5.61396076304687e-07,0.832555697034426,0.000163358776475526,UP,0.589450283759943,0.999825403673469,0.00346289552621234
DGKI,ENSG00000157680,0.88102072178003,1.35163542948093e-06,0.615252689229298,2.05643084306839e-05,UP,0.667961654103413,0.820773771513576,0.0193494102440973
LRRC52,ENSG00000162763,1.54296234803374,1.65518457450388e-06,1.93768224041007,5.87792787825053e-18,UP,0.511562864911345,,
SNAI3,ENSG00000185669,0.958928888055466,1.74391156437186e-06,0.643131616267708,4.68081453098674e-07,UP,0.515803034051303,0.987054049185872,-0.0101454118818078
CALM3,ENSG00000160014,0.373929568314589,6.98566533979062e-06,0.517513827465363,2.90235486112821e-23,UP,0.539722923993335,0.839573228652436,0.0192658514732485
