feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out
SDF4,aFB1,0.285836549260333,0.0945507279104412,721844.5,0.531281326222542,0.000321294725691175,0.0071832857648534,21.2789415656009,15.6208277703605
VWA1,aFB1,0.0629376366009105,0.0432301743650405,701595,0.516377588346388,7.80559596076088e-05,0.00208390879312744,4.74090407938258,1.46862483311081
CLSTN1,aFB1,0.419024812531962,0.125394454584896,737196,0.542580110489105,1.63871795681041e-05,0.000517339605341196,29.8787210584344,22.1628838451268
PLOD1,aFB1,0.127981373433188,0.0591667686393116,708346,0.521346359644539,0.000459002491998799,0.0096950962826553,9.81256890848953,5.60747663551402
MFAP2,aFB1,0.141544768993109,0.0779680661007873,715289.5,0.526456811949192,2.41760635078488e-05,0.000726469188983439,10.6394707828004,5.4739652870494
CDA,aFB1,0.0698351031270551,0.0608179264950358,712420,0.524344844945779,4.23091105736458e-08,2.15095692332587e-06,5.78831312017641,0.934579439252336
HSPG2,aFB1,1.2707462270172,0.307599856203279,805255.5,0.592672258343723,4.45749474985417e-14,4.56875286277949e-12,68.632855567806,57.8104138851803
RPL11,aFB1,0.798056010239093,0.168000404032536,749850,0.551893520651571,6.39742188891421e-06,0.000225627155198413,48.5115766262404,39.2523364485981
SH3BGRL3,aFB1,0.26069258503592,0.139748323953049,740554.5,0.545051984049295,1.80571861350468e-08,9.57481668694832e-07,18.5226019845645,9.87983978638184
WASF2,aFB1,0.762827139330066,0.156187911623914,747494,0.550159492333034,1.36319684338923e-05,0.000438321097725936,48.3461962513782,41.5220293724967
IFI6,aFB1,0.22663209524775,0.0831141404485268,720621.5,0.530381191827987,7.23953818673367e-05,0.00194364314899589,16.1521499448732,10.1468624833111
FNDC5,aFB1,0.130351952656653,0.0935482652450072,725871,0.534244851275424,6.42841979944036e-09,3.59305434725737e-07,9.97794928335171,3.20427236315087
AZIN2,aFB1,0.306638063697799,0.121137621913097,730947,0.537980813815701,8.73133070673726e-06,0.000295143681918012,20.8930540242558,13.6181575433912
TMEM35B,aFB1,0.17650424889054,0.0649527696874336,714072.5,0.525561093586009,0.000307065080185279,0.00690959686907793,13.5060639470783,8.41121495327103
COL8A2,aFB1,0.0958060546550833,0.0717141099480705,715243,0.526422587706063,2.87880937325339e-07,1.28274779893765e-05,7.49724366041896,2.26969292389853
PPT1,aFB1,0.176040519307507,0.0793005795317673,714746,0.526056793107458,0.000181127641348084,0.00433063843425805,13.0099228224917,8.01068090787717
SLC2A1-AS1,aFB1,0.0273139064951381,0.0247610897633019,693025,0.510070023537447,0.000183921912693666,0.00438442593706047,2.14994487320838,0.13351134846462
PRDX1,aFB1,0.46508033247122,0.122836225491526,732135.5,0.53885555602987,0.000104562980925949,0.00268471949212893,30.8158765159868,23.6315086782377
CYP4B1,aFB1,0.137880978923536,0.11200935853782,728132,0.535908959097245,3.88303317962983e-10,2.59531890717531e-08,9.59206174200662,2.53671562082777
CYP4X1,aFB1,0.233670088208448,0.0905404124342997,718412.5,0.528755356278051,0.000282977536780704,0.00643193472572123,17.1444321940463,11.8825100133511
SPATA6,aFB1,1.08721621463759,0.170027849751256,749474,0.551616782685624,2.08069008421612e-05,0.000637394732449252,61.742006615215,55.2736982643525
ECHDC2,aFB1,1.55915033313287,0.321932819813828,811770,0.597466964405315,4.69062705834239e-15,5.22820300488303e-13,78.1146637265711,66.8891855807744
SCP2,aFB1,0.603566486492299,0.124972195133615,732435.5,0.539076357598444,0.000335257685239596,0.00744322680859175,39.3054024255788,32.8437917222964
PODN,aFB1,0.816450994689532,0.335115641367187,817589,0.601749778830429,5.55361003057243e-19,8.07300627676102e-17,49.6141124586549,32.8437917222964
TMEM59,aFB1,0.625559573773835,0.186208043699316,760434.5,0.559683767993488,4.99154969961107e-08,2.51037382179212e-06,41.1797133406836,30.4405874499332
PLPP3,aFB1,0.701467241472454,0.124653857016594,736158.5,0.541816505064452,0.000182914004805982,0.00436788589490161,43.2194046306505,35.5140186915888
NFIA,aFB1,2.57311745538303,0.213122607416656,763601.5,0.562014696552404,7.57872603606102e-07,3.13573890784252e-05,94.7629547960309,89.9866488651536
NEGR1,aFB1,2.91672157584888,1.19633984665425,1044038,0.7684174268374,7.5870614832296e-102,4.83434912608918e-98,95.0937155457552,68.3578104138852
PTGFR,aFB1,0.29888998217293,0.098906579345527,726390,0.534626837989057,5.88586008998794e-05,0.00161537916080638,21.1686879823594,14.4192256341789
SSX2IP,aFB1,0.245687451148558,0.124005868617876,740131.5,0.544740653837605,1.61762926844305e-08,8.63737214550923e-07,18.1918412348401,9.34579439252336
LMO4,aFB1,0.844033307412908,0.197086302115256,759072.5,0.55868132887216,4.48837410075157e-07,1.92803404770599e-05,50.8269018743109,41.2550066755674
LRRC8D,aFB1,0.325904158603779,0.123252390573661,730672,0.537778412377842,1.77508004630805e-05,0.000555344396484476,22.271223814774,15.3538050734312
TGFBR3,aFB1,0.976655658741162,0.30478290118438,793928,0.58433515911697,6.76830170697927e-13,6.0457696859702e-11,54.465270121279,39.7863818424566
DPYD,aFB1,1.84253507716846,0.170560912292444,746992.5,0.5497903857109,6.87375684615815e-05,0.00185455609022916,84.1786108048512,79.305740987984
DPYD-AS1,aFB1,0.267516661032151,0.142901193236814,738251,0.543356596005258,6.61182457453493e-08,3.25323893576635e-06,18.4674751929438,10.4138851802403
PALMD,aFB1,0.318373450968697,0.188147333815244,760813,0.559962345972506,1.51350728144291e-12,1.32409375004219e-10,21.7199558985667,10.4138851802403
GSTM3,aFB1,0.172383245537791,0.0855508185603386,715555,0.52665222133738,0.000101060177694937,0.0026035253729482,12.6240352811466,7.61014686248331
OLFML3,aFB1,0.29272626086604,0.13999775593539,741755.5,0.545935926328821,6.00477325448373e-08,2.96982077964557e-06,20.9481808158765,12.283044058745
CD58,aFB1,0.523435947893303,0.152631689433619,744690,0.548095733672092,4.44097783532791e-06,0.000160779378430323,35.4465270121279,26.8357810413885
IGSF3,aFB1,0.205831753359004,0.112814829123419,736243.5,0.541879065508882,1.59789573616337e-08,8.54393732716947e-07,15.7662624035281,7.47663551401869
NOTCH2,aFB1,0.764207497004466,0.134073795885037,739920.5,0.544585356734374,0.000119300427009987,0.00300855845977496,49.4487320837927,42.1895861148198
TXNIP,aFB1,1.0612158354662,0.334504573890241,807892.5,0.594613104131492,2.56519698688194e-15,2.91875136921082e-13,59.4266813671444,44.7263017356475
ECM1,aFB1,0.898643425968256,0.457451119782987,856744,0.630568063555524,3.65391987695567e-30,1.12655653883784e-27,51.5986769570011,28.5714285714286
ADAMTSL4,aFB1,0.245262063739594,0.109789514725402,726292.5,0.53455507747927,1.67061035731338e-05,0.000525239346796445,17.9713340683572,11.6154873164219
CTSK,aFB1,0.272141382038942,0.120485604486704,731150.5,0.538130590879718,4.43617285796169e-06,0.000160757653585529,19.5700110253583,12.5500667556742
S100A10,aFB1,0.6096542893626,0.339866660947606,813696.5,0.598884878478177,1.92364818577213e-21,3.46900914104974e-19,37.3759647188534,19.4926568758344
S100A11,aFB1,0.554570278819445,0.222345711371666,770670,0.56721714951063,7.76492031591791e-11,5.611732865744e-09,35.0606394707828,22.9639519359146
S100A6,aFB1,1.38726065532843,0.508330730795171,850358,0.625867934165804,4.05519717370556e-25,9.17362385490753e-23,66.3175303197354,47.5300400534045
S100A4,aFB1,0.900311931525905,0.35916085861247,814045.5,0.599141744302952,5.3003221667625e-18,7.11005672833324e-16,50.2205071664829,33.2443257676903
S100A13,aFB1,0.488862886633375,0.249139702839631,784258.5,0.577218356559205,7.02239128826025e-15,7.67065832404222e-13,32.0837927232635,17.890520694259
SLC39A1,aFB1,0.14432101570776,0.0789779388549956,721232.5,0.53083089102265,1.44013036456675e-06,5.71137178088708e-05,11.3561190738699,5.20694259012016
JTB,aFB1,0.260713086043018,0.114612134074082,732323,0.538993557010229,2.07526752694459e-06,8.02219947650339e-05,19.239250275634,11.7489986648865
IL6R,aFB1,0.231435319735853,0.140040251592492,746260.5,0.549251629883579,1.19077171323119e-10,8.50923240533491e-09,17.1444321940463,7.61014686248331
KCNN3,aFB1,0.26431859223151,0.122503169721404,728522,0.536196001136392,3.42254116475368e-06,0.000127780440693064,17.0341786108049,10.1468624833111
CADM3,aFB1,0.0971291624866158,0.0665708009210403,708684,0.521595129411799,2.17372094078967e-05,0.000662707538176474,7.05622932745314,2.80373831775701
TAGLN2,aFB1,0.691450931384561,0.231663417033916,772057.5,0.568238356765287,6.63907130159763e-10,4.32399207719555e-08,42.5578831312018,31.5086782376502
LINC01133,aFB1,0.143371477716549,0.102977129911989,724224,0.53303265066395,3.05600463107621e-08,1.57246450943034e-06,10.0882028665932,3.60480640854473
DDR2,aFB1,1.31230022668552,0.35961855588717,820761.5,0.604084755418103,1.95958402013555e-17,2.55688930627312e-15,68.1918412348401,54.739652870494
DPT,aFB1,1.22921906063011,0.562754128134896,882081.5,0.649216596034698,1.72291880559365e-35,7.0826783716829e-33,63.5060639470783,38.4512683578104
FMO2,aFB1,0.998976641667652,0.299776520382063,789879.5,0.58135544194906,4.06725599941879e-12,3.43256653672803e-10,54.0793825799339,40.1869158878505
MYOC,aFB1,0.334938382549341,0.240994900377122,775036,0.570430548338615,3.69364048055215e-18,5.02532274775763e-16,20.5071664829107,6.80907877169559
DNM3,aFB1,0.43014243600065,0.127374690409625,735836.5,0.541579511380849,2.3256789738471e-05,0.000702563297428207,29.4928335170893,21.6288384512684
DNM3OS,aFB1,0.65259422877829,0.174645196413043,754610.5,0.555397273542231,5.85106987105687e-07,2.47721209568522e-05,42.5578831312018,33.1108144192256
RABGAP1L,aFB1,1.22260726755169,0.172837667343323,744971,0.548302551141323,7.99131281939723e-05,0.00212163805832205,65.986769570011,59.2790387182911
QSOX1,aFB1,0.350207228306195,0.125037940535605,735238,0.541139012251543,7.66371442242866e-06,0.000263481534248084,24.8621830209482,17.3564753004005
GLUL,aFB1,0.401747370217255,0.190375055659474,764766.5,0.562872142643701,2.8475337042328e-11,2.16860679375546e-09,27.8390297684675,16.0213618157543
LAMC1,aFB1,1.82950644863134,0.646795083193921,917125,0.675008795262482,8.09347595805338e-45,4.9114552278149e-42,82.3594266813671,62.4833110814419
COLGALT2,aFB1,0.89427644305574,0.311053427434433,798699.5,0.587847008065145,2.57838578277712e-14,2.7006648455165e-12,50.8820286659316,35.3805073431242
NAV1,aFB1,1.48901242405814,0.362079769602482,819541.5,0.603186829039234,7.4007549434973e-17,9.36881663062402e-15,73.8699007717751,61.0146862483311
IPO9-AS1,aFB1,0.519867035459508,0.222150434836462,772168,0.568319685343045,2.2447350996877e-11,1.743128494931e-09,33.9581036383683,21.8958611481976
PRELP,aFB1,1.33836177309251,0.54728101409043,869346.5,0.639843569448717,9.22556540555575e-31,2.86750073999839e-28,66.207276736494,44.4592790387183
PLEKHA6,aFB1,0.800620669836391,0.39146336423051,840474,0.618593258486508,8.95517068656079e-26,2.08759225925552e-23,48.8423373759647,27.7703604806409
CD55,aFB1,0.509309159394861,0.188867373542946,749334,0.551513741953623,2.65967005637116e-07,1.19323222960136e-05,31.2568908489526,22.4299065420561
CD34,aFB1,0.821300918502104,0.553710854004405,899755,0.662224384442027,2.26508830866192e-48,1.69797237506773e-45,48.5667034178611,19.0921228304406
HSD11B1,aFB1,0.0832518743706699,0.0571421041537872,707372,0.520629490551901,1.12833164841235e-05,0.000369325747007299,6.11907386990077,2.00267022696929
SERTAD4-AS1,aFB1,0.169252249525672,0.100072184372056,729247.5,0.536729972929728,4.97582250914019e-08,2.50633294264741e-06,12.8445424476295,5.60747663551402
SERTAD4,aFB1,0.372808576580723,0.228954759486435,785640.5,0.578235515785104,4.28606574284171e-18,5.8106588444887e-16,26.0749724366042,10.6809078771696
EPHX1,aFB1,0.521810183332813,0.21006410919665,773971,0.569646702770177,1.67268223525878e-11,1.31852194919955e-09,35.5567805953694,22.1628838451268
H3F3A,aFB1,0.741769388142999,0.199201976606593,762096,0.560906640680775,7.89753997087867e-08,3.82190950160332e-06,46.3065049614113,36.1815754339119
PCNX2,aFB1,0.46975903948067,0.184095082162563,757465.5,0.55749856846983,6.02446681634379e-09,3.40712116650354e-07,30.760749724366,20.1602136181575
RNF144A,aFB1,0.376787981105898,0.152230827916931,743757.5,0.54740940879644,3.61887702353818e-07,1.5939318834895e-05,25.9647188533627,17.4899866488652
LAPTM4A,aFB1,0.88716143828446,0.354806172468131,822876,0.605641038473937,9.82360738651241e-20,1.53292381221941e-17,52.7012127894157,36.3150867823765
ITSN2,aFB1,0.833305416291939,0.159167171196237,744359.5,0.547852483944046,4.22106774253959e-05,0.00120880629861446,51.1025358324146,44.3257676902537
LTBP1,aFB1,2.03800101602025,0.294514028042298,792629,0.583379088325044,2.75162678365339e-11,2.11239846517776e-09,87.8721058434399,79.305740987984
VIT,aFB1,0.77898867029217,0.588671135542324,909147,0.669136945548861,2.86114410659224e-55,2.95633514430075e-52,45.5898566703418,13.8851802403204
CYP1B1,aFB1,0.442891093314075,0.150329810700126,744699,0.548102357719149,5.35969733481275e-07,2.28181056578203e-05,28.2249173098126,18.6915887850467
CYP1B1-AS1,aFB1,0.67588918352039,0.323242838076262,808743,0.5952390765784,7.15888698182431e-19,1.03279776680047e-16,40.683572216097,23.2309746328438
ZFP36L2,aFB1,1.15883184704601,0.308098743919575,798262,0.587525005777641,4.66130181465474e-13,4.27353068767542e-11,62.7342888643881,49.6662216288385
PLEKHH2,aFB1,0.93055041155171,0.159274138580615,740734.5,0.545184464990439,0.000129166181372645,0.0032381326426607,53.2524807056229,47.2630173564753
CALM2,aFB1,0.70449122905052,0.129740367607005,734720.5,0.540758129545752,0.000320481636429099,0.00717349733156959,44.9834619625138,38.584779706275
SPTBN1,aFB1,2.22777991756132,0.31946692608736,834127,0.613921833300704,1.00525330610808e-19,1.56226988397634e-17,92.0066152149945,86.6488651535381
AC092839.1,aFB1,0.190498040357895,0.0827236124214981,715697.5,0.526757102082453,0.000186914043799606,0.00445228087757179,13.8368246968026,8.67823765020027
AC093110.1,aFB1,0.286146804287342,0.129359884054859,737090.5,0.54250246193749,5.34098784558504e-07,2.27638022658374e-05,20.7276736493936,12.8170894526035
PCYOX1,aFB1,0.383383543409297,0.192642152065788,764741.5,0.562853742512987,1.35792395013971e-11,1.08155813620398e-09,26.7364939360529,15.086782376502
TGOLN2,aFB1,0.372524448162438,0.159555703150045,748136,0.550632007689783,6.88827389300307e-08,3.37622563081282e-06,26.5711135611907,17.6234979973298
ST3GAL5,aFB1,0.357078158974479,0.180458935126429,757421.5,0.557466184239773,1.46048198024936e-10,1.02828152093763e-08,24.3660418963616,13.6181575433912
GLI2,aFB1,0.651404509910195,0.140269588109139,736567,0.542117163200327,0.000140837278223718,0.00349179635782811,41.5656008820287,34.4459279038718
PTPN18,aFB1,0.161282890819674,0.0714367097462158,717521.5,0.528099575619385,3.81602113227551e-05,0.00109731678641493,12.6791620727674,7.07610146862483
NCKAP5,aFB1,0.404651078735658,0.128309863852993,725270,0.533802512133046,0.000271260012964495,0.00620247700696507,24.9173098125689,19.2256341789052
TANK,aFB1,0.727953179196366,0.140777551640651,736463,0.542040618656555,0.000204734018211032,0.00482861582370509,44.9283351708931,38.4512683578104
FAP,aFB1,0.17841354087874,0.0974243992457222,718254,0.528638699449321,2.1932940419726e-05,0.000667610067823682,12.348401323043,6.94259012016021
SCN7A,aFB1,1.95648348237738,0.888966230912623,956284,0.703830024008491,1.10474004247782e-60,1.62443525246037e-57,80.4851157662624,51.8024032042724
CYBRD1,aFB1,0.989675784611447,0.363596037481115,829657,0.610631889928946,1.10971748247264e-20,1.8689695626613e-18,57.6626240352812,41.1214953271028
RAPGEF4,aFB1,0.239175309445238,0.112655641609175,727700.5,0.535591372841113,3.79403186482092e-06,0.000139997572230125,16.593164277839,9.74632843791722
WIPF1,aFB1,0.70358365418473,0.130762085438634,734404,0.540525183890906,0.000301470469295025,0.00680372934570135,43.5501653803749,36.4485981308411
OSBPL6,aFB1,0.395730749671495,0.132595379317838,737955.5,0.543139106460212,4.31087770102415e-06,0.000156961109893194,26.4057331863286,18.0240320427236
SESTD1,aFB1,1.20032394090734,0.452941838668971,860383,0.63324638658233,4.47532936474387e-28,1.23982838364872e-25,66.1521499448732,44.7263017356475
GULP1,aFB1,0.690782539903254,0.144427107761484,736835,0.542314412601587,0.000140698503821078,0.00349061940271487,42.2271223814774,35.1134846461949
COL5A2,aFB1,1.50454886963928,0.264083463943309,784611,0.57747779840228,4.2767784975443e-10,2.83371782910947e-08,75.1929437706725,65.954606141522
MYO1B,aFB1,0.631586805119508,0.169074061795696,752744.5,0.554023887785699,8.09047038425207e-07,3.3080938316614e-05,41.1245865490629,30.7076101468625
TMEFF2,aFB1,0.236427853549715,0.0935416434332884,717986,0.528441450048061,0.000144904536754624,0.00358102478646802,15.2701212789416,9.74632843791722
ANKRD44,aFB1,0.834897758033389,0.170411584257722,748906.5,0.551199099718405,1.06538363643242e-05,0.000350609329542711,50.1102535832415,42.9906542056075
GPR1,aFB1,0.13385125547782,0.112441492272575,728399,0.536105472493277,2.31873155864428e-10,1.58298975390231e-08,9.48180815876516,2.40320427236315
KLF7,aFB1,0.567007107591042,0.149484759404962,742363,0.546383049505184,1.33198621001378e-05,0.000429369011762536,37.045203969129,28.9719626168224
GPBAR1,aFB1,0.0331351376307256,0.0278066816872903,694090.5,0.5108542371085,0.000446065133921432,0.00946366045224766,2.70121278941566,0.534045393858478
CYP27A1,aFB1,0.603928477082505,0.298614568516564,810210.5,0.596319164251343,1.90899170673401e-19,2.8961373785773e-17,40.1323042998898,22.5634178905207
CHPF,aFB1,0.305596088351785,0.0947118205742057,722102.5,0.531471215571516,0.000387572468457193,0.00840458482222742,22.3814773980154,16.4218958611482
SERPINE2,aFB1,0.711316055473983,0.247730150103889,782298,0.575775418308572,5.45065378331252e-12,4.57986691845761e-10,42.7232635060639,28.5714285714286
IRS1,aFB1,0.457191495162266,0.139120983056023,736719,0.542229035995072,2.41586012673417e-05,0.000726469188983439,30.6504961411246,23.6315086782377
PID1,aFB1,1.54762070668402,0.315673185489304,791813.5,0.582778876061136,2.22893931427738e-11,1.73553113898449e-09,73.48401323043,62.2162883845127
ITM2C,aFB1,0.162467300097651,0.0726087833514885,712313,0.52426609238632,0.000322876088328916,0.00721020778791051,12.1278941565601,7.47663551401869
ACKR3,aFB1,0.391115422836767,0.142180753149343,733976.5,0.540210541655688,1.01434087611054e-05,0.000337211008996366,24.2006615214995,17.0894526034713
COL6A3,aFB1,1.6230267256467,0.379851191657724,826920.5,0.608617811620934,2.48071665711063e-18,3.43624197528973e-16,78.4454244762955,65.4205607476636
FBLN2,aFB1,1.69359080787321,0.708648358936712,921792,0.67844373166427,2.56385928725651e-47,1.81516489650192e-44,75.0275633958104,54.0720961281709
ZNF385D,aFB1,0.949562963687013,0.307898352846467,791980,0.582901420931694,6.73334892663412e-13,6.02863378955853e-11,51.1025358324146,35.2469959946596
VILL,aFB1,0.122247003026509,0.0828701013186904,721029.5,0.530681481961248,1.34481617004924e-07,6.30842539842364e-06,9.53693495038589,3.47129506008011
CLEC3B,aFB1,0.202260974753383,0.124111597450476,737069,0.542486637825075,2.08923434378874e-09,1.25785068027382e-07,14.4983461962514,6.1415220293725
RHOA,aFB1,0.553491792765264,0.132992600443001,737467.5,0.542779935908665,6.51590067396206e-05,0.00176548120954106,37.3759647188534,30.4405874499332
IL17RD,aFB1,0.203160389708681,0.0938742238562948,722841.5,0.532015123435437,1.80614374419101e-05,0.000563679032523808,15.380374862183,9.21228304405874
ARL6IP5,aFB1,0.495188667603167,0.19024537562296,761589,0.560533486029885,3.23440466181984e-09,1.90237730193899e-07,33.7375964718853,22.8304405874499
FRMD4B,aFB1,0.703028583956453,0.201437421407481,754893.5,0.55560556302192,4.19469482247095e-07,1.81411060812089e-05,41.0694597574421,32.4432576769025
GXYLT2,aFB1,0.612807939442484,0.282791810611372,791679,0.582679883357891,4.70505867450769e-15,5.22904355189254e-13,38.0926130099228,22.9639519359146
ROBO1,aFB1,1.75600860122474,0.435297269329279,832329.5,0.612598863902329,1.4871813863389e-19,2.2742572632449e-17,79.8787210584344,64.8865153538051
EPHA3,aFB1,1.59292560050075,0.32057322713354,790494,0.581807717162023,3.871915167096e-11,2.88552024860131e-09,74.0352811466373,61.9492656875834
EPHA6,aFB1,0.585598896336767,0.271373263504842,771341.5,0.567711377021622,7.43022415900239e-12,6.10892257683485e-10,31.2568908489526,18.958611481976
CRYBG3,aFB1,0.730129746708115,0.248822128302165,783046,0.57632595021955,1.03414473533225e-11,8.3586442656421e-10,45.5347298787211,32.0427236315087
ST3GAL6,aFB1,0.222250150870364,0.126001429222002,732567,0.539173142286003,1.49864768117262e-07,6.97017025534188e-06,15.7111356119074,8.27770360480641
DCBLD2,aFB1,0.768079337262855,0.141306852693422,741126,0.545472611037429,7.93270835616659e-05,0.00211194549557524,48.5115766262404,40.5874499332443
COL8A1,aFB1,2.07292386831261,0.467230519668116,842643.5,0.620190021829915,7.1972169569363e-22,1.36893931084891e-19,86.0529217199559,73.2977303070761
ABI3BP,aFB1,1.97559901802316,0.651311250938785,899449,0.661999166842081,1.51584460146982e-38,7.24403186984907e-36,85.0055126791621,62.4833110814419
CCDC80,aFB1,1.88950197417059,0.797140540575778,939512,0.691485744314728,1.01302760595042e-53,9.44611180563182e-51,79.8235942668137,54.739652870494
BOC,aFB1,0.545012678580456,0.182291217493176,758844,0.55851315167743,2.24259257297046e-08,1.17286671213726e-06,35.8875413450937,25.2336448598131
ZBTB20,aFB1,3.11604928480274,0.182730475284624,770581.5,0.567152013047901,8.56137887146531e-08,4.10677635677529e-06,98.5667034178611,96.5287049399199
FSTL1,aFB1,1.4466750037575,0.252450707063445,769664,0.566476728250678,7.26663610474874e-08,3.53899063593184e-06,71.3340683572216,62.2162883845127
ITGB5,aFB1,0.682484746425064,0.147911441922076,738885.5,0.543823591322793,8.92537011119961e-05,0.00233876507691071,42.9437706725469,36.5821094793057
MGLL,aFB1,0.499629561593035,0.218088557791464,775522.5,0.57078861488232,3.45610735651762e-12,2.93623200771167e-10,33.8478500551268,20.9612817089453
EFCC1,aFB1,0.258578262635064,0.11448877745475,728701.5,0.536328114074922,5.27827783092255e-06,0.00018841628361718,17.9162072767365,10.9479305740988
ACKR4,aFB1,0.137231481138107,0.0745191468142523,711933.5,0.523986778402074,9.74283796863221e-05,0.00251853916637494,10.1433296582139,5.4739652870494
SPSB4,aFB1,0.147908037364647,0.0660499479774078,711259,0.523490342875396,0.000240746028250083,0.00557477977348813,10.9151047409041,6.27503337783712
PCOLCE2,aFB1,1.70764705105778,0.980824907298393,983291,0.723707317216782,1.3771292713101e-74,4.04992532088126e-71,73.1532524807056,41.6555407209613
SLC9A9,aFB1,1.25088583892492,0.157492753966964,738623.5,0.543630757952905,0.000360464918811578,0.00792007719027899,65.2701212789416,59.0120160213618
TM4SF1,aFB1,0.317864346039207,0.103828284609777,726981.5,0.535062185081763,5.74975769016417e-05,0.00158371027559558,21.7199558985667,14.9532710280374
IGSF10,aFB1,0.462589803421108,0.130674751738276,737565,0.542851696418451,2.07073515877381e-05,0.000634853856095281,31.4222712238148,23.6315086782377
P2RY1,aFB1,0.0840679652056564,0.0558299299109952,705590,0.519317929234569,4.48053521880179e-05,0.00127073695808614,6.11907386990077,2.26969292389853
MME,aFB1,0.0996267705046328,0.0746439509149288,712675,0.524532526279067,1.1145747186063e-06,4.48540063863551e-05,7.11135611907387,2.26969292389853
PLCH1,aFB1,0.532847301105918,0.227358669426931,765137,0.563144832580891,1.62108935370965e-10,1.13508914068999e-08,31.0363836824697,19.2256341789052
LINC01324,aFB1,0.0598832204615138,0.0436173145503035,698403,0.514028259656757,0.000390938297529269,0.00846317217035192,4.24476295479603,1.46862483311081
BCHE,aFB1,0.149277523367874,0.093490150657654,720712.5,0.530448168303788,1.01933525804707e-06,4.11947211949234e-05,10.7497243660419,4.8064085447263
GOLIM4,aFB1,0.888069852189143,0.298122658155065,802220.5,0.59043848247498,1.07525198382717e-14,1.15471793802519e-12,53.8037486218302,38.7182910547397
MECOM,aFB1,1.85800353458308,0.388150649980037,805939,0.593175317917459,7.49565184651655e-14,7.4626631704212e-12,80.154355016538,67.5567423230975
TNFSF10,aFB1,0.201945840088926,0.103586727855014,724719,0.533396973252098,5.30269659152305e-06,0.000189111374431453,14.8842337375965,8.54472630173565
KCNMB2,aFB1,0.37272644376892,0.197500971533233,749247.5,0.551450077501351,2.18096518107811e-09,1.30895572743795e-07,21.8853362734289,12.283044058745
AC108734.4,aFB1,0.353366850665828,0.135682761990047,734224,0.540392702949762,5.68782615566561e-06,0.000202081185068632,23.0429988974642,15.4873164218959
MAGEF1,aFB1,0.0934067043493972,0.0542778717418397,705374,0.519158952105196,0.000181345319270129,0.00433313306313519,7.00110253583241,3.20427236315087
APOD,aFB1,0.695983359548458,0.449689388684196,838852,0.61739945800575,1.03618861878549e-29,3.07089357246418e-27,38.1477398015436,16.6889185580774
