feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out
PLIN1,Adipo,2.54057196240002,2.52040952057949,1427943,0.994621307895644,0,0,99.1735537190083,1.92161820480405
SLC19A3,Adipo,2.15237260213756,2.13323781521746,1420862.5,0.98968944705067,0,0,98.3471074380165,2.4188790560472
ACACB,Adipo,3.17686852040278,2.51171071880532,1404960,0.978612698644879,1.33487566923511e-87,3.25054979047945e-85,100,44.7450484618626
PDE3B,Adipo,3.31095483092474,2.72326961792146,1401764,0.976386552573198,1.39011434854521e-91,3.566809507331e-89,100,40.1264222503161
GPAM,Adipo,2.48108138683167,2.39870978564036,1390495,0.968537228392417,2.94292308207185e-235,2.25021784701377e-232,95.0413223140496,10.1053518752634
MGST1,Adipo,2.38770290429497,2.10339146269641,1390052,0.968228660585861,1.69533574114629e-133,7.12245941975427e-131,99.1735537190083,20.9776654024442
PPARG,Adipo,2.60621942529405,2.29326443292426,1387372.5,0.966362278108054,1.41246164979301e-117,4.86484876876005e-115,99.1735537190083,24.8546144121365
ADIPOQ,Adipo,1.91683971497906,1.90296425096716,1384783,0.964558584349413,0,0,93.3884297520661,1.23050990307627
ACSL1,Adipo,2.30464266895603,2.00418867345249,1383901.5,0.963944583172258,1.2170631044859e-107,3.69282059901592e-105,98.3471074380165,27.9477454698694
AQP7,Adipo,2.00687879823969,1.76485674216527,1379884,0.961146228402866,1.1963961665363e-123,4.39802133104321e-121,97.5206611570248,22.4104509060261
PLIN4,Adipo,2.04945177324147,1.9395554115169,1378548,0.960215649193928,2.18624654224732e-180,1.39303985927762e-177,95.0413223140496,13.5018963337547
SIK2,Adipo,2.90454631316489,2.18998875636059,1371347.5,0.955200203390067,5.69152176614938e-75,1.1392281080715e-72,98.3471074380165,51.2178676780447
CIDEA,Adipo,1.51675956110446,1.50809785243721,1367376.5,0.952434237792243,0,0,90.9090909090909,1.02823430257059
PNPLA2,Adipo,1.93947767937448,1.7426481229777,1362599,0.949106511616568,9.16002798409661e-124,3.3999711636893e-121,95.0413223140496,20.834386852086
PPP2R1B,Adipo,1.69635297217931,1.54578108090469,1360127.5,0.947385009734165,2.36065118173933e-146,1.15705199139842e-143,95.8677685950413,16.4517488411294
EBF1,Adipo,3.66562379357195,2.49153141896242,1356615.5,0.944938756604082,8.6553490950208e-73,1.66282739322483e-70,99.1735537190083,49.338390223346
TPRG1,Adipo,2.07723335915153,1.82777921049094,1353763,0.942951872477214,1.24201214714335e-126,4.89519241210693e-124,96.6942148760331,19.4353139485883
PRKAR2B,Adipo,2.01436011097926,1.84986153603464,1347948,0.938901484677832,5.54916842848894e-134,2.38371076617484e-131,92.5619834710744,17.6232616940582
GHR,Adipo,2.77671752218611,2.00387941631936,1346741.5,0.938061107570359,2.81410033177122e-70,5.29979654108106e-68,98.3471074380165,49.9283607248209
LPL,Adipo,2.12150183676742,1.90116194170004,1343486,0.935793517289897,2.68041463412332e-130,1.06744720705384e-127,94.2148760330578,17.9351032448378
LIPE,Adipo,1.53816053656421,1.47709230779933,1341988,0.934750098386462,1.24134106954411e-299,1.21686436999335e-296,90.0826446280992,6.26211546565529
PTGER3,Adipo,1.54937372661976,1.51264233468957,1338784,0.932518379984188,0,0,88.4297520661157,3.13527180783818
SOX5,Adipo,3.24971890444393,2.00694969971178,1338579,0.932375589012757,2.24009443163032e-63,3.73978385221217e-61,98.3471074380165,63.1521281078803
FABP4,Adipo,2.06121100236845,1.86167158433946,1334829,0.929763559047549,1.68842880945355e-172,9.63437639018188e-170,94.2148760330578,12.0438263801096
TRHDE-AS1,Adipo,1.37446229463429,1.35666016935641,1332826,0.928368386775466,0,0,86.7768595041322,1.48335440370839
GYG2,Adipo,1.29383319716027,1.28134068630563,1329556.5,0.926091044916467,0,0,85.9504132231405,1.69405815423515
AC004160.1,Adipo,2.05825600137744,1.80724632940709,1328756.5,0.925533811857223,4.39250702099185e-132,1.7864886799951e-129,94.2148760330578,16.5528866413822
LINC00598,Adipo,1.77494003830081,1.67639768291346,1321259,0.920311493280117,1.17827269901418e-215,8.49934784075684e-213,88.4297520661157,8.68099452170249
LVRN,Adipo,1.26095946727336,1.25106411435128,1318227.5,0.918199928256244,0,0,84.297520661157,1.01137800252845
PFKFB3,Adipo,1.74419511833867,1.50479401655637,1310591,0.912880790435094,2.80435821305619e-106,8.3760483471368e-104,93.3884297520661,20.480404551201
TMEM132C,Adipo,2.22412530747873,1.88015743926783,1307096.5,0.910446726778183,1.23758390422503e-110,3.91025373904356e-108,94.2148760330578,19.0729034976823
MLXIPL,Adipo,1.1865893502505,1.16031783114406,1304885,0.908906325640034,0,0,83.4710743801653,3.56510745891277
ACVR1C,Adipo,1.29853935713509,1.28091413173168,1303290,0.907795342228166,0,0,82.6446280991736,2.25874420564686
GPD1,Adipo,1.19986720422129,1.18865713637895,1299928,0.905453570296692,0,0,81.8181818181818,1.47492625368732
APOL6,Adipo,1.43206729527305,1.26200846890812,1298692,0.904592645220159,1.94240615603363e-125,7.42484235958774e-123,90.0826446280992,15.5920775389802
